id,totalTime,pageSize,leve0,level1
1000,0.962774,0.031574,45,956
2000,2.153593,0.274270,56,1945
3000,3.517049,0.429706,82,2919
4000,5.199981,0.587168,151,3850
5000,5.942333,0.641573,180,4821
6000,6.733778,0.717346,207,5794
7000,7.554670,0.797867,234,6767
8000,8.339284,0.895179,266,7735
9000,9.497918,1.080775,317,8684
10000,10.648933,1.142449,362,9639
11000,11.448986,1.159794,392,10609
12000,12.456791,1.186362,409,11592
13000,13.761004,1.348909,439,12562
14000,14.998595,1.422655,489,13512
15000,16.015489,1.513807,532,14469
16000,17.014029,1.560633,583,15418
17000,17.994323,1.599145,622,16379
18000,18.898181,1.634084,659,17342
19000,19.880012,1.754816,683,18318
20000,20.894045,1.810285,714,19287
21000,22.108011,1.861351,790,20211
22000,23.291998,1.973448,836,21165
23000,24.381182,2.010620,872,22129
24000,25.802344,2.075126,914,23087
25000,27.218088,2.161624,952,24049
26000,28.569154,2.228157,1003,24998
27000,29.667924,2.268773,1059,25942
28000,30.773414,2.328948,1105,26896
29000,31.597666,2.367513,1136,27865
30000,32.435703,2.437961,1170,28831
31000,33.377951,2.534215,1203,29798
32000,34.477037,2.589666,1235,30766
33000,35.786056,2.649390,1265,31736
34000,37.103403,2.742633,1303,32698
35000,38.129959,2.786349,1329,33672
36000,39.030370,2.864828,1361,34640
37000,39.867722,2.898161,1391,35610
38000,40.846093,3.022965,1417,36584
39000,42.173812,3.054094,1443,37558
40000,43.757041,3.089848,1462,38539
41000,45.276264,3.186344,1506,39495
42000,46.558070,3.230867,1537,40464
43000,48.014018,3.361287,1571,41430
44000,49.050709,3.392946,1606,42395
45000,50.324622,3.444716,1639,43362
46000,51.383437,3.483043,1671,44330
47000,52.432392,3.544683,1716,45285
48000,53.283054,3.578256,1753,46248
49000,54.179645,3.621290,1793,47208
50000,55.202022,3.727217,1825,48176
51000,56.164795,3.797393,1860,49141
52000,57.278594,3.828094,1897,50104
53000,58.195755,3.906289,1930,51071
54000,59.129386,3.947155,1964,52037
55000,60.220716,3.997580,2000,53001
56000,61.503869,4.055189,2047,53954
57000,63.270371,4.097205,2091,54910
58000,64.593290,4.142821,2129,55872
59000,65.789428,4.181078,2171,56830
60000,67.120406,4.224110,2197,57804
61000,68.460667,4.277785,2235,58766
62000,69.474075,4.311218,2272,59729
63000,70.659848,4.378523,2312,60689
64000,71.525401,4.399624,2334,61667
65000,72.581626,4.551989,2368,62633
66000,73.973827,4.596140,2376,63625
67000,75.705643,4.706770,2398,64603
68000,77.464645,4.886425,2426,65575
69000,78.899011,5.071135,2483,66518
70000,80.012518,5.167087,2525,67476
71000,81.306858,5.194304,2557,68444
72000,82.742107,5.489640,2596,69405
73000,83.876972,5.591175,2668,70333
74000,84.973763,5.635903,2697,71304
75000,86.064415,5.677539,2719,72282
76000,87.397652,5.881394,2768,73233
77000,88.919086,6.313852,2794,74207
78000,90.517091,6.788025,2833,75168
79000,91.692659,7.200935,2883,76118
80000,92.668414,7.242351,2918,77083
81000,93.740525,7.320105,2956,78045
82000,94.933701,7.421280,2986,79015
83000,96.240925,7.503681,3031,79970
84000,97.521217,7.542917,3045,80956
85000,98.749264,7.640138,3068,81933
86000,99.884606,7.734875,3100,82901
87000,101.291145,7.846237,3134,83867
88000,102.830040,7.918180,3188,84813
89000,104.329404,7.959946,3220,85781
90000,105.610379,8.038145,3260,86741
91000,106.944084,8.077420,3298,87703
92000,108.247447,8.147775,3344,88657
93000,109.487102,8.204915,3390,89611
94000,110.967185,8.420728,3452,90549
95000,112.301727,8.468832,3499,91502
96000,113.602597,8.518031,3528,92473
97000,115.216950,8.581806,3577,93424
98000,117.067484,8.636393,3620,94381
99000,118.584576,8.694219,3677,95324
100000,119.986194,8.807968,3708,96293
